Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ff89d41374fcac8260f852f76f0a7bd3fa20ba8a835ce6002bbd44e274540ab3,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.276362,52.645186,On or near A1024,E01026828,Norwich 002A,Suspect charged
410d4ef7fc0a8f8be45ed75667e5d603664a5dc3e1838cf39fa35e649ee63047,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.297301,52.617713,On or near HALL ROAD,E01026816,Norwich 013A,Investigation complete; no suspect identified
7c284aa48a74fc26ed162bdf9ee9d982780b2afdcc909f30b3591526e5b6fec9,2013-04,Norfolk Constabulary,Norfolk Constabulary,0.939540,52.677354,On or near THE HOME CLOSE,E01026425,Breckland 005A,Investigation complete; no suspect identified
f2f6b1dcce4764ef3749c162e4731dae7e8ade4244362e4e56775831119b85fe,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.235433,52.629143,On or near SARAH WILLIMAN CLOSE,E01026861,Norwich 010D,Investigation complete; no suspect identified
cbb53b15cf14a63fc6d954accbbaaae88bdfa13acf62cac4cc32ff6a416c7e98,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.323155,52.630706,On or near WOODROW PLACE,E01026808,Norwich 004F,Investigation complete; no suspect identified
1e473b4d5ad1bd2d17f716635f99a5b4929baa1337d7404035e6a972bb9d5654,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.237955,52.638265,On or near PETO COURT,E01026793,Norwich 005C,Investigation complete; no suspect identified
14199a6e0fccfc37d89fc910da11dd5130f737f6204e58d70f5e4caa3018b332,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.298566,52.629613,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
8db6a9fd16f4a64220b95b938369535b8aa3063d7862bb8fd5dc3db0b1aa279d,2013-04,Norfolk Constabulary,Norfolk Constabulary,0.943208,52.675357,On or near SWAN ROAD,E01026425,Breckland 005A,Investigation complete; no suspect identified
2803ac31d583d95b21bce01817b6c86d3cdecd22ca49f1abdd0647b64c1a1fca,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.438786,52.480197,On or near Conference/Exhibition Centre,E01026892,South Norfolk 012A,Investigation complete; no suspect identified
197ade3640092977719eafa3e9d048c84cd6d59af5292b95a7c686f8f309f942,2013-04,Norfolk Constabulary,Norfolk Constabulary,0.417605,52.758031,On or near Supermarket,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
17c8804a9c701725761cbcce0c451e88303adaa2e67ee1a54ed72bb31655c42a,2013-04,Norfolk Constabulary,Norfolk Constabulary,0.736514,52.855913,On or near HALIFAX CRESCENT,E01026780,North Norfolk 009A,Investigation complete; no suspect identified
b1884b5c3e6bbd0026be1bd656fe2dcb18e327538b3130a168c75fc9c778b222,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.288771,52.648772,On or near BOSTON STREET,E01026830,Norwich 002C,Investigation complete; no suspect identified
4ecd5ace293f03708e743634d683ec204839e8bc75b99ec42afc0bfb6e0b2e3e,2013-04,Norfolk Constabulary,Norfolk Constabulary,1.194761,52.681681,On or near Parking Area,E01026566,Broadland 006E,Investigation complete; no suspect identified
