Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c8df37a8d711322423de5e1d81e15a0e6810372f12d39de837e71ee6fd060ddd,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.296054,51.643481,On or near GEORGES MEAD,E01023564,Hertsmere 010B,Investigation complete; no suspect identified
e561c6d17a1972344eb1088a6769b4eae6e66b9f2758f2e63f5e32bdc1fdbfb3,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.342090,51.724160,On or near HAWFIELD GARDENS,E01023718,St Albans 019A,Offender given penalty notice
e3e0f454d5789ac19427ce43f25fd36d3799c475b03fdc34dbb1d339e7a2c474,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,0.154672,51.819343,On or near REEDINGS WAY,E01023499,East Hertfordshire 011A,Investigation complete; no suspect identified
2b4debc94fc3e94195baa43bdfe2e48baa54334d29075b6f7205de2f7a69f99f,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,0.132455,51.795631,On or near HARLOW ROAD,E01021854,Harlow 001A,Investigation complete; no suspect identified
03b25459312dc2c34d813f51578251c77555c4792b4d0e756e3b1f020c51a1eb,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,0.078939,51.901764,On or near PARSONAGE LANE,E01023493,East Hertfordshire 003F,Investigation complete; no suspect identified
376978fc8f55ea009d736cc6370098344b185476ee291d1d10c710e7605aa315,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.398272,51.663785,On or near STATION ROAD,E01023861,Watford 009C,Investigation complete; no suspect identified
e649df55ea9d8c8f5ecb5fa0563fca7a34587bb4290942645c35cea7ec9a4d54,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.527354,51.776407,On or near NETTLEDEN ROAD,E01023355,Dacorum 006A,Investigation complete; no suspect identified
a14dc9b7181a67067d25b1b0df192ed01520fcf6abe6822ed84273fe87ec6fea,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.329827,51.757149,On or near BOWGATE,E01023676,St Albans 011D,Investigation complete; no suspect identified
3f2c3c3e55002f53e20dc37b3199c58b07d2b7e111f3d9cb7b434161d59fa3ec,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.331752,51.736756,On or near NUNS LANE,E01023738,St Albans 017B,Investigation complete; no suspect identified
0a27db2e6d6aa24ee7129d127b1f317e74760f19eedbadef44323cdff1f731eb,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.375594,51.653825,On or near ALDENHAM ROAD,E01023559,Hertsmere 012B,Investigation complete; no suspect identified
d6f1cf26263bfd9b807dd3678d6028cdac6c9e3b255c04d03b2d6661868724d9,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
fd49ce41edd93ab3873ca6f0739d745f6d201490d3323e3eabd7a97779c79cf9,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030977,51.713918,On or near HIGH STREET,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
b12c8e1f64576519c8e549892ea4f9f01132b39b3f39874dbdb126534119d47e,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.058043,51.711635,On or near VALENCE DRIVE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
3ed5858fee341856b2d313181510132afa35bb14ef7a030bb068894da9174e7f,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034606,51.701659,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
35047de2d1a4735496ffe48b9c84954d1fbd8bdd85d2c984baf33ab2ba34934c,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f20f0d434343c02ca36e1209207181909c755f6aaf15dcddadd8d57f4fbe05dd,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.086527,51.710358,On or near Supermarket,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
c60c48a684a9809ba26e2614bb75ffa30debf328e35eacdbe7b0eb07e1c9e947,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.066225,51.732254,On or near BEAUMONT ROAD,E01023307,Broxbourne 006A,Investigation complete; no suspect identified
51b4055bdca9435bae525ebe76d01c2e3120cda48f790a4885afd30c6cdb8088,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
e9c84680895a9822df784d409fce0c3de2b480ce2e0e7bcc39802f137cabe777,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041621,51.683657,On or near TERESA GARDENS,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
90ecc5660185567ea282eb9c17f961995918da4c31b9c7f001aabc267dd33c55,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
74f85d5a8a782b27f2e52c998f44330cf13b6f8e63dfcec788276f428a5231da,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.090099,51.723814,On or near GLADDING ROAD,E01023315,Broxbourne 007D,Investigation complete; no suspect identified
6a38c116da6899c6583c4a94617f5fef9a7e2346eb3a7f406c8055f518bf6ccb,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027356,51.713309,On or near MONTGOMERY DRIVE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
51bd6923ccc270cf2aa26a9e33626fb9bf1d2dabe3221a7f888019543d0f41bb,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034563,51.683278,On or near LODGE CRESCENT,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
c80d4abaf1f069b6346ccba3ecd703dcc1167711b6db4ad915624c8a5913b4d3,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
68d8d37451cec2e02612d3ae28de3d26c53438535eee9fd076c64d3730e25aa1,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044276,51.708997,On or near THE MEAD,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
90b40bdf7b204ba05f55ba67d627ea6c16f146325c3431a28d28f776ca9c42e5,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
bf93a9e00b18aaaaa20de05cce828d4065b216ae5cc7789aaacdc2a6130a42d3,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
976cffc211f2792f8e7b0edc44244b4c4e69ce633f39c84d7bd50dadd4eaa2b0,2013-07,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027313,51.693669,On or near FELSTEAD ROAD,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
