Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c382c1791fdd92389036738c03cca271d52e92c70a4329eacf202f44d1d7d0d2,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.941787,51.869521,On or near WESLEY WAY,W01000623,Pembrokeshire 004D,Investigation complete; no suspect identified
0197dc9fe1c2bbffe39bb6a5bc26a2e5e1ba6597703db01d8edcba39201dc913,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.937246,51.999403,On or near Parking Area,W01000562,Pembrokeshire 002A,Investigation complete; no suspect identified
d78a9b520592bef91f13cbdf363a25c6bec35293fa7b33e51ba7d4e5812c8f7a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.155502,51.681139,On or near WERN ROAD,W01000629,Carmarthenshire 024B,Investigation complete; no suspect identified
936794ddaaabea560a454f1f92a647077877ae276108bd0544788fb16a6fd321,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.967147,51.990622,On or near PLAS-Y-FRON,W01000565,Pembrokeshire 002B,Investigation complete; no suspect identified
ee05070613b518718024b19241e338165a5af05dc0f073c8856f85a61184c3c7,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.153304,52.660608,On or near MOUNT STREET,W01000501,Powys 003D,Investigation complete; no suspect identified
0d7ea67bcea976b1aee8ecab019689db0d8725cb37dd6d7a51a1d268514aed8c,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.929772,51.693057,On or near LLANION COTTAGES,W01000601,Pembrokeshire 013B,Investigation complete; no suspect identified
a4b3764ef910608260cca012a986b265f435528ae8241a2e8775af0cb577b672,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.561021,51.880680,On or near Parking Area,W01000674,Carmarthenshire 027A,Investigation complete; no suspect identified
cf1339ac9498e104e2394a0263e8f2bf2f5eaaa40e2fe28de1aff2063d0eba4b,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.172589,52.509310,On or near Sports/Recreation Area,W01000447,Powys 007C,Investigation complete; no suspect identified
099f12d561702af744e181c4167f104db4655e2db8e2303febd8f7f23f28a55c,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.307936,51.857611,On or near Shopping Area,W01000641,Carmarthenshire 008A,Investigation complete; no suspect identified
a037906b92bd8fe77c6ab9ee078bde44c6b62defc587691caa7a0820d2d83c30,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.087476,52.415186,On or near Conference/Exhibition Centre,W01000517,Ceredigion 002D,Investigation complete; no suspect identified
dc736d735f2c5dfbeb2aa360c529e4e7d50393cf4df20017987e040b443bf0bb,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.158912,51.681975,On or near Shopping Area,W01000654,Carmarthenshire 023B,Investigation complete; no suspect identified
3c78140baf477eaab610d52daf2a53427a28087394c3b345c824f7249a35ae0f,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.966521,51.958908,On or near RECTORY ROAD,W01000617,Pembrokeshire 002F,Investigation complete; no suspect identified
da549dc56ff518ee88321ab2fbc9565964216341804274805d3de7713dcdbf0d,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.392949,51.950458,On or near PRIORY GARDENS,W01001901,Powys 017F,Investigation complete; no suspect identified
96bc22148827ce56ccd6c67ca851bd1581c41631ca86873e09dd54fec599e86a,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.389765,51.947700,On or near LION YARD,W01000492,Powys 017D,Investigation complete; no suspect identified
be5bb7dcf11d2d5c4dd34393cf1f871892dd33b35c04d1e06b088602074684e7,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.393670,51.950225,On or near ST JOHNS ROAD,W01000492,Powys 017D,Investigation complete; no suspect identified
0fa6c3a96803fcdb4d92fc305c24ecf7675a38422fca31990826851a1a834206,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.317494,51.859635,On or near THE GROVE,W01000645,Carmarthenshire 006C,Investigation complete; no suspect identified
08b46aefa82c3df6e77c7c8217e5120e5610dad0788c2b7a5226a96ddbc44239,2014-05,Dyfed-Powys Police,Dyfed-Powys Police,-4.943316,51.709744,On or near Parking Area,W01000598,Pembrokeshire 009C,Investigation complete; no suspect identified
